a	art.一(个)；每一(个)
dismay	n.惊慌，沮丧，灰心
dismiss	vt.忘掉
disorder	n.疾病，小病
dispatch	vt.派遣；调度
disperse	vt.(使)分散；驱散
displace	vt.移置；取代；置换
displacement	n.移置；免职；置换
disregard	vt.不管，不顾
dissatisfaction	n.不满，不平
dissipate	vt.驱散；浪费vi.消散
dissolve	vt.解除(婚约等)
distinct	a.独特的
distinctly	ad.显然，清楚地
distinguish	v.使显出特色，使杰出
distort	vt.歪曲，曲解，扭曲
distortion	n.弄歪，歪曲；畸变
distract	vt.分散(心思)；打扰
disturbance	n.动乱；干扰；侵犯
diverge	vi.分岔；分歧
diversion	n.转移；改道；娱乐
divert	vt.使转向
divine	a.神的；敬神的
dizzy	a.头晕眼花的，眩晕的
dock	vt.把…引入船坞
doctrine	n.教义，主义；学说
documentary	a.纪录的，文献的
dome	n.圆屋顶，拱顶
domestic	a.养在家里的
dominant	a.统治的
dominate	vt.统治，支配，控制
doom	n.命运，毁灭
doubtless	ad.无疑地；很可能
dove	n.鸽子，斑鸠
drain	vi.(水等)流掉
drainage	n.排水；下水道
drama	n.戏剧性事件；戏剧性
drastic	a.激烈的；严厉的
drawback	n.退款；妨碍；弊端
dreadful	a.可怕的；令人敬畏的
dry	a.干巴巴的，枯燥的
duke	n.公爵，君主；手
duplicate	n.复制品
dust	n.垃圾，废品，灰烬
dwarf	n.矮子，侏儒
dwell	n.居住
dynamic(al)	a.机能上的
dynamo	n.发电机
ear	n.(稻麦等的)穗
earnings	n.工资，收入；收益
earthenware	n.陶器
eastward	a.&ad.向东的，向东
echo	vt.反射(声音等)
eclipse	n.(日，月)食
ecology	n.生态学；个体生态学
economically	ad.节约地，在经济上
economics	n.经济学；经济
edit	vt.编辑，编纂；校订
editorial	n.社论，期刊的社论
Egyptian	a.埃及的
eject	vt.逐出，排斥；喷射
elapse	vi.(时间)过去，消逝
elbow	vt.用肘挤，挤进
electrician	n.电工，电气技师
electrode	n.电极；电焊条
electronics	n.电子学
elegant	a.(举止、服饰)雅致的
elemental	a.基本的；自然力的
elevate	vt.提高(思想)；抬高
elevation	n.高度；标高；隆肿
elliptical	a.椭圆的；省略的
eloquence	n.雄辩；口才，修辞
embarrass	vt.使负债；使复杂化
embassy	n.大使馆；大使的职务
embody	vt.体现；包含，收录
embrace	vt.包括，包含；包围
embroidery	n.绣花，刺绣；绣制品
emerge	vi.浮现，出现；显露
emigrate	vi.永久移居国外
emission	n.散发；传播；发出物
empirical	a.经验主义的
enchant	vt.迷住；用魔法迷惑
enclosure	n.围绕；围场，围栏
end	n.目标，目的
endanger	vt.危及，危害
endeavor	vi.&n.努力，尽力
endow	vt.资助；赋予，授予
endurance	n.耐久力，持久力
energetic	a.积极的；精力旺盛的
energize	vt.给与…能量；电压
engage	vt.使(齿轮等)啮合
engagement	n.婚约；约会，债务
enhance	vt.提高，增加；夸张
enlighten	vt.启发，开导；启蒙
enrich	vt.使富裕；使丰富
enroll	vt.登记，招收vi.参军
enterprise	n.艰巨的事业；事业心
entertainment	n.招待，招待会
entitle	vt.把…称作
entreat	vt.&vi.恳求
entry	n.通道；条目
environmental	a.环境的，环境产生的
episode	n.一段情节；插曲
epoch	n.(新)时代；历元
equation	n.平衡；平均；反应式
equator	n.赤道，天球赤道
equilibrium	n.平衡，均衡；均衡论
equivalent	a.等面(体)积的
erect	a.竖起的
erosion	n.腐蚀，侵蚀；糜烂
escort	n.&vt.护卫，护送
essence	n.本质，本体；精华
essential	a.特发的；自发的
establish	vt.使…被永久地接受
estate	n.房地产；财产，产业
eternal	n.永久的；不朽的
evaporate	vt.使脱水vi.发散蒸气
even	a.同一日期的
evenly	ad.一致地，平静地
everlasting	a.永久的；持久的
evil	n.邪恶，罪恶；祸害
evolution	n.开方；(天体的)形成
excel	vt.胜过
except	vt.把…除外，除去
exceptional	a.例外的；优越的
excess	n.过度行为，暴行
excessively	ad.过分，极端地
exclamation	n.呼喊，惊叫；感叹
exclusive	a.除外的；孤傲的
excursion	n.离题
excuse	vt.与…辩解；使免除
execution	n.实行，执行；处死刑
executive	n.总经理，董事
exemplify	vt.举例证明(解释)
exert	vt.发挥(威力)，施加
exile	vt.流放
expect	vt.料想，认为
expedition	n.探险；探险队
expenditure	n.(时间等)支出，消费
expel	vt.驱逐，开除；排出
experimentally	ad.实验上，实验性地
experimentation	n.实验，试验；实验法
expire	vi.满期，到期；断气
explicit	a.明晰的；直率的
exploration	n.考察；勘探；探查
exposition	n.说明，解释；陈列
extinct	a.绝种的；熄灭了的
extinguish	vt.熄灭，扑灭；消灭
extra	n.附加物；额外的人手
extract	vt.取出；榨取
extraction	n.抽出；提取法；摘要
extraordinarily	ad.非常地，特别地
extravagant	a.奢侈的；过度的
extreme	n.极端不同的性质
fabricate	vt.制作，组合；捏造
fabrication	n.制作，构成；捏造
facilitate	vt.使容易；助长
faction	n.派别，宗派，小集团
fair	a.美丽的
fake	n.假货，膺品
fall	vi.变成，成为；陷于
fantastic	a.空想的；奇异的
fascinate	vt.迷住
fastener	n.扣件，钮扣，揿钮
faultless	a.无过失的；无缺点的
fearless	a.无畏的，大胆的
feel	vi.摸起来
fell	vt.砍倒(树等)；砍伐
fellowship	n.伙伴关系；联谊会
feminine	a.女性的；女子气的
fence	n.击剑(术)
ferrous	a.铁的；亚铁的
ferry	n.渡船；渡口
fertile	a.(创造力)丰富的
fighter	n.斗争者；战斗机
filament	n.细丝；长丝；灯丝
fill	vt.担任(职务)；填补
filter	vi.滤过
filth	n.污秽，污物；淫猥
finance	vt.提供资金
finely	ad.精细地，美好地
finite	a.有限的；有尽的
fireplace	n.壁炉
firework	n.爆竹，花炮，烟火
firmness	n.坚固，坚定，稳固
first-rate	a.第一流的，优秀的
fission	n.裂开；分裂生殖
fitness	n.适当，恰当；健康
fitting	a.适当的
fixture	n.固定；定期存款
flake	n.片，薄片；肌膈
flame	vi.发火焰
flank	n.肋，肋腹；侧面
flannel	n.法兰绒；法兰绒衣服
flap	vt.&n.拍打
flask	n.瓶；火药筒；砂箱
flatten	vt.把…弄平；击倒
flatter	vt.奉承，阿谀，谄媚
flavour	vt.给…调味
flaw	n.缺点，瑕疵；裂隙
flee	vi.逃走
flexible	a.灵活的，可变通的
flight	n.溃退，逃跑；外流
fling	vi.&vt.(用力)扔，抛
float	n.漂浮物；浮标，木筏
flock	vi.群集，聚集
fluctuate	vi.波动
fluctuation	n.波动；脉动；踌躇
flush	n.兴奋，脸红；发烧
flutter	vi.(鸟)振翼；飘动
flux	n.流；涨潮；流量
fly	v.飞跑，逃跑，消失
foam	n.泡沫；泡沫塑料
follow	vt.从事(职业)，经营
follower	n.契据的附面；从动件
footpath	n.小路，人行道
fore	ad.在前面
foreign	a.无关的
foresee	vt.预见，预知，看穿
forge	vt.打(铁等)，锻造
formal	a.形态的；规范的
formerly	ad.以前，从前
formidable	a.可怕的；难对付的
formulate	vt.用公式表示
formulation	n.明确的表达
forsake	vt.遗弃，抛弃，摒绝
fort	n.要塞，堡垒
forthcoming	a.即将到来的；现有的
fortress	n.堡垒，要塞
forum	n.论坛，讨论会
forward	ad.向前，将来vt.转递
fossil	n.化石
foster	vt.养育，抚养；培养
foul	a.肮脏的；丑恶的
fowl	n.家禽；禽肉
fraction	n.分数；分馏的部分
fracture	n.破裂；裂痕
fragile	a.脆的；体质弱的
fragrant	a.香的，芬芳的
frail	a.脆弱的；意志薄弱的
framework	n.机构，组织，体制
freight	n.运费；货运；负担
frequency	n.频繁，屡次；频率
frequent	a.常见的；频繁的
freshen	vt.使显得新鲜
fret	vt.&vi.(使)烦恼
friction	n.擦热皮肤
fright	n.惊吓，恐怖
frightful	a.可怕的；讨厌的
fringe	n.穗，毛边；边缘
fro	ad.往，去，回，向后
frock	n.(女)上衣，罩衫
frustrate	vt.挫败；使无效
furious	a.狂暴的；强烈的
further	vt.增进
fury	n.狂怒，暴怒；猛烈
fuse	n.保险丝，导火线
fuss	n.忙乱；吹捧
gamble	n.赌博
gangster	n.匪徒，歹徒，暴徒
gap	n.山口，山峡；差距
garage	n.汽车修理站；飞机库
garlic	n.蒜，大蒜
garment	n.衣服；服装，衣着
gather	vt.推测，推断
gathering	n.集会，聚会，聚集
gear	n.齿轮，传动装置
generalization	n.一般化；概括，综合
generalize	vt.概括出vi.形成概念
generate	vt.发生，产生；生成
generosity	n.慷慨，宽宏大量
geographical	a.地理的；地区(性)的
geology	n.地质学；(某地)地质
geometrical	a.几何学的
germ	n.细菌，病原菌；幼芽
gesture	vi.(讲话时等)做手势
gigantic	a.巨大的；巨人似的
ginger	n.姜，生姜
gleam	n.微光
glider	n.滑翔机；滑翔导弹
global	a.球面的；全球的
glorify	vt.赞美(上帝)；颂扬
glossary	n.词汇表；术语汇编
glue	vt.粘牢
gnaw	vt.啃，咬断
goddess	n.女神；绝世美女
goodness	n.善良，善行，美德
gorilla	n.大猩猩；暴徒，打手
gorgeous	a.绚丽的；极好的
gossip	n.闲谈；碎嘴子；漫笔
govern	vt.决定，支配；控制
grab	vt.&vi.攫取，抓取
gracious	a.谦和的
gradient	n.斜坡
gramophone	n.留声机
granite	a.花岗岩，花岗石
grant	n.授予物，拨款
graphite	n.石墨，石墨电极
grasshopper	n.蚱蜢，蝗虫，蚂蚱
grassy	a.草多的；草似的
grateful	a.可喜的，令人愉快的
gravel	n.砂跞；砂砾层；结石
graze	vi.喂草；放牧(牲畜)
grease	n.动物脂，脂肪
greed	n.贪心，贪婪
grief	n.悲哀，悲痛，悲伤
grim	a.冷酷无情的，严厉的
grin	vi.咧着嘴笑
grind	vt.折磨，压榨
groove	n.槽
grope	vi.(暗中)摸索，探索
gross	a.(语言、举止)粗俗的
grove	n.林子，小树林，园林
growl	vi.(狗等)嗥叫；咆哮
grumble	vi.抱怨，发牢骚
grunt	vi.作呼噜声；咕哝
guilt	n.有罪，犯罪；内疚
guitar	n.吉他，六弦琴
gust	n.阵风，一阵狂风
gutter	n.沟，边沟；檐槽
hail	vt.向…欢呼
halve	vt.对分；平摊
ham	n.火腿；(兽类的)后踝
hamper	vt.妨碍，阻碍，牵制
handbook	n.手册，便览，指南
handicap	vt.妨碍，使不利
handout	n.施舍物，救济品
handy	a.方便的；便于使用的
harbour	vt.隐匿，窝藏；怀着
hard	a.(酒)烈性的
hardy	a.强壮的，耐劳的
harmonious	a.和谐的，协调的
harp	n.竖琴；天琴座
harsh	a.粗糙的；严厉的
hatch	vt.舱盖，舱口；短门
haughty	a.傲慢的，轻蔑的
haul	vt.拖曳；拖运
haunt	vt.常去
hazard	vt.使遭危险
head	vt.用头顶(球)vi.出发
heading	n.标题，题词，题名
headlong	a.&ad.头向前的(地)
headquarters	n.总局，总店
hearth	n.壁炉地面；炉边
heater	n.加热的人，加热器
hearty	a.衷心的；丰盛的
heave	vt.(用力地)举起；抛
Heaven	n.上帝，神
heighten	vt.加高，提高；增加
hemisphere	n.半球；半球地图
henceforth	ad.今后，从今以后
herald	ad.传令官；通报者
herb	n.草本植物；香草
herd	vt.放牧
hesitate	vi.含糊，支吾；口吃
hide	n.生皮，兽皮，皮革
hike	vi.作长途徒步旅行
hindrance	n.障碍，妨碍
hinge	n.合页，折叶，铰链
hip	n.臀部，髋；屋脊
hiss	n.嘶嘶声
historian	n.历史学家；编史家
historic	a.历史的；历史性的
hit	n.轰动一时的人(或事)
hitherto	ad.迄今，到目前为止
hoarse	a.(声音)嘶哑的
hoe	vt.&vi.锄地
hoist	vt.升起
hollow	vt.凿空
homely	a.家庭的；家常的
homogeneous	a.同类的；均匀的
hook	vt.用钩连接，用钩挂
hop	vi.跳舞；(人)单足跳
horizon	n.层位
horn	n.角状物，角制品
hose	n.长筒袜；软管
hospitality	n.好客，殷勤；宜人
hostage	n.人质，抵押品
hostess	n.女主人；旅馆女老板
hostile	a.敌对的；不友好的
hound	n.狗；角鲨；卑鄙的人
house	n.议院，会议厅
hover	vi.徘徊；傍徨；翱翔
howl	n.嚎叫；哀号
hug	vt.搂
hull	n.外壳，豆荚；薄膜
hum	n.嗡嗡声
humanitarian	a.博爱的
humanity	n.人类；人性，人情
humidity	n.湿气；湿度
hurl	vt.猛投
hurrah	int.好哇，万岁，乌拉
hurricane	n.飓风，十二级风
hurt	n.损伤，伤害，创伤
hush	n.沉默
hydraulic	a.水力的；水力学的
hydrocarbon	n.烃，碳氢化合物
hymn	n.赞美诗，圣歌；赞歌
hypothesis	n.假设；前提
ice	vt.使成冰
icy	a.冰冷的；冷冰冰的
idealism	n.唯心主义；理想主义
ideally	ad.理想地；理论上
identical	a.同一的；恒等的
identification	n.认出，鉴定；身份证
idiot	n.白痴；傻子
idleness	n.懒惰；赋闲无事
ignite	vt.引燃
ignorance	n.无知，无学，愚昧
illiterate	a.文盲的
illuminate	vt.照明，照亮；阐明
illusion	n.幻想；错觉；假象
imitation	n.仿制品，伪制物
immerse	vt.沉浸；给…施洗礼
immigrate	vt.(使)移居入境
immortal	a.不朽的；永生的
impart	vt.给予，传递；告诉
impartial	a.公正的，无偏见的
implement	n.工具，服装
implore	vt.乞求，恳求，哀求
impose	vi.利用；欺骗
impress	vt.盖印，在…打记号
improper	a.不适当的；不合理的
impulse	n.推动，冲力；冲动
impurity	n.不纯；杂质；不道德
inaccessible	a.达不到的，难接近的
inaccurate	a.不精密的，不准确的
inadequate	a.不充足的，不适当的
inasmuch	ad.因为，由于
inaugurate	vt.开始；使就职
incapable	a.无能力的；无资格的
incense	n.香，熏香；香气
incidence	n.发生，影响；入射
incidentally	ad.附带地；顺便提及
inclination	n.倾斜，点头；斜坡
incline	n.坡度
inclusive	a.包围住的；包括的
incompatible	a.不相容的
incomplete	a.不完全的，未完成的
incorporate	vt.结合，合并，收编
incredible	a.难以置信的，惊人的
indefinite	a.无限期的
indicative	a.指示的；陈述的
indignation	n.愤怒，愤慨，义愤
indispensable	a.必不可少的，必需的
individual	a.特殊的
indoor	a.室内的；室内进行的
induce	vt.劝诱；引起；感应
induction	n.就职；归纳推理
indulge	vt.放纵(感情)vi.纵情
industrious	a.勤劳的，勤奋的
inertia	n.惯性，惯量；无力
inevitably	ad.不可避免地
infect	vt.使受影响
infectious	a.传染的；感染性的
infer	vt.&vi.猜想，臆测
inference	n.推论；推断的结果
inferior	n.下级；晚辈，次品
infinite	n.无限；无穷(大)
infinitely	ad.无限地，无边地
infinity	n.大量，大宗；无穷大
inflation	n.通货膨胀，物价飞涨
influence	n.势力，权势
ingenious	a.机灵的；精巧制成的
ingenuity	n.机灵；设计新颖
ingredient	n.配料，成分
inherent	a.固有的，生来的
initial	a.词首的
initially	ad.最初，开始
initiate	vt.开始，创始；启蒙
initiative	a.创始的
inject	vt.注射；注满；喷射
inland	a.国内的；内地的
inlet	n.进口，水湾
innovation	n.创新，改革，新设施
innumerable	a.无数的，数不清的
inorganic	a.无生物的；无机的
input	vt.输入
insert	vi.(肌肉)附着
insight	n.洞察力，洞悉，见识
insignificant	a.无意义的；低微的
insistent	a.坚持的；逼人注意的
inspector	n.检查员；巡官
inspiration	n.灵感；妙想；鼓舞
instability	n.不稳定性；不坚决
installment	n.分期付款
instantaneous	a.瞬间的，即刻的
instructor	n.指导者，教员
instrumental	a.仪器的；有帮助的
insulate	vt.使绝缘，使绝热
insulator	n.隔离者；绝缘体
intake	n.吸入；输入能量
integral	a.组成的；整的
integrate	vt.使结合，使并入
integrity	n.诚实，正直
intellect	n.理智，智力，才智
intent	a.目不转睛的，热切的
interact	vi.相互作用
interconnect	vt.使互相联系
intercourse	n.交际，往来，交流
interface	n.分界面
interior	n.内部
intermediate	n.中间体；调解人
interpret	vt.解释
intervene	vi.干涉，干预；播进
interview	vt.接见，会见，会谈
intonation	n.语调，声调；发声
introduce	vt.提出(议案等)
invalid	n.病人
invariably	ad.不变地，永恒地
inversely	ad.相反地
invoice	n.发票，发货清单
ion	n.离子
irregularity	n.不规则；不整齐
irrespective	a.不考虑的，不顾的
irrigation	n.灌溉；冲洗法
irritate	vt.激怒；引起不愉快
Islam	n.伊斯兰教，回教
ivory	n.象牙；牙质；乳白色
jack	n.起重器；传动装置
jam	n.堵塞
jealousy	n.妒忌，嫉妒，猜忌
jean	n.斜纹布，牛仔裤
jelly	n.冻，果子冻；胶状物
jerk	vt.猛地一拉
Jesus	n.耶稣
jewellery	n.珠宝，珠宝饰物
jingle	vt.&vi.(使)丁当响
jog	vt.使(马等)缓步行进
jug	n.带柄水罐，大壶
junction	n.连接；接头；中继线
jungle	n.丛林，密林，莽丛
junior	n.年少者；晚辈
Jupiter	n.丘庇特；木星
kernel	n.(果实的)核；谷粒
kidnap	vt.诱拐，绑架
kidney	n.肾，腰子；性格
kilowatt	n.千瓦(特)
kindle	vt.点燃
kinetic	a.动力(学)的；活动的
kit	n.成套工具；用具包
knight	n.骑士，武士；爵士
lace	vi.系带，用带子束紧
landscape	n.风景，景色，景致
largely	ad.大规模地
late	a.去世不久的
latent	a.存在但看不见的
lathe	n.车床
latitude	n.纬度；黄纬
lattice	n.格子；点阵，网络
laundry	n.送洗衣店去洗的东西
leaflet	n.传单，活页；广告
leakage	n.漏，泄漏；漏出物
lease	n.租约，契约，租契
legislation	n.立法；法规
length	n.程度，范围
lengthen	vt.使延长
leopard	n.豹
lessen	vt.减少
lever	n.途径，工具，手段
liability	n.责任；倾向；债务
liable	a.有(法律)责任的
lighter	n.打火机，引燃器
likelihood	n.可能(性)
likeness	n.同样；类似，相似
lily	n.百合，百合花，睡莲
limb	n.分支，突出物
limestone	n.石灰石
limp	vi.蹒跚，跛行
line	vt.加衬里于
linear	a.线的；长度的
liner	n.班船，定期班机
linger	vi.逗留，徘徊；拖延
lining	n.(衣服里的)衬里
lipstick	n.唇膏，口红
literal	a.文字(上)的；字面的
literally	ad.照字义，逐字地
literary	a.精通文学的
litter	n.废物，杂乱
lobby	n.前厅，(剧院的)门廊
locality	n.位置，地点，发生地
location	n.定位，测位；测量
locomotive	a.运动的；机动
locust	n.蝗虫；洋槐，刺槐
lodging	n.寄宿，住宿；住所
lofty	a.高耸的；高尚的
log	n.航海日志；飞行日志
longing	n.渴望
longitude	n.经线，经度
loosely	ad.松松地，松散地
loosen	vi.变松
lounge	n.(旅馆等的)休息室
lubricate	vt.使润滑vi.加润滑油
luminous	a.发光的；光明的
lump	vt.(使)成团
lunar	a.月亮的
luncheon	n.午宴，午餐，便宴
luxurious	a.爱好奢侈的，豪华的
magician	n.魔法师；变戏法的人
magistrate	n.地方行政长官
magnet	n.有吸引力的人(或物)
magnetism	n.磁；魅力；催眠术
magnify	vt.放大，扩大
magnitude	n.大小；重大；星等
maid	n.少女；处女
maiden	n.少女，未婚女子
main	n.总管道，干线
maintenance	n.扶养；坚持
majesty	n.威严，尊严；陛下
makeup	n.组织；性格；化装品
malice	n.恶意；蓄意犯罪
mammal	n.哺乳动物
manifest	vt.表明
manipulate	vt.操作；控制，手持
mansion	n.大厦，大楼；宅第
manuscript	n.手稿，底稿，原稿
maple	n.槭树，枫树
margin	n.余地；幅度；赚头
marginal	a.记在页边的；边缘的
market	vt.(在市场上)销售
Mars	n.火星；战争
marsh	n.沼泽地，湿地
marshal	n.元帅；陆军元帅
martyr	n.烈士，殉难者
marvel	n.奇迹；惊奇
masculine	a.男性的；强壮的
massacre	n.大屠杀，残杀
massive	a.粗大的；大而重的
mast	n.桅杆；杆
mature	vt.使成熟
measurement	n.(量得的)尺寸，大小
mechanics	n.力学，机械学；结构
mechanism	n.机械装置；机制
meditate	vt.沉思，冥想，反省
melancholy	n.&a.忧郁(的)，悲伤
melody	n.旋律，曲调；歌曲
membership	n.成员资格；会员人数
menace	vt.&vi.&n.(进行)威胁
mend	vt.改正，修正；改进
merchandise	n.商品，货物
merciful	a.仁慈的，宽大的
mercury	n.汞，水银；水银柱
merit	vt.值得vi.应受赏(罚)
mesh	n.网眼，筛孔，网络
mess	vt.弄脏，弄乱，搞糟
message	n.启示，要旨，教训
metallic	a.金属的
metallurgy	n.冶金学，冶金术
metropolitan	a.主要都市的n.大主教
microprocessor	n.微信息处理机
microscopic	a.显微镜的，微观的
microwave	n.微波
mighty	a.强大的；巨大的
migrate	vi.迁移，移居
mild	a.(烟、酒)味淡的
milky	a.牛奶的；乳白色的
millionaire	n.百分富翁，巨富
mingle	vt.使混合vi.混合起来
miniature	n.缩影
minimize	vt.使减到最小
mint	n.薄荷；薄荷糖
mint	n.造币厂；巨额，富源
mirror	n.反映，借鉴
mishief	n.调皮，捣蛋，胡闹
miser	n.守财奴，吝啬鬼
misery	n.痛苦，悲惨，不幸
misfortune	n.不幸，灾祸，灾难
missionary	n.传教士
mist	n.薄雾
mistress	n.情妇，情人
mitten	n.连指手套；露指手套
mixer	n.混合者，搅拌器
mob	vi.聚众闹事
mobilize	vt.动员
mock	n.嘲弄
moderately	ad.适度地，适中
modesty	n.谦逊；端庄；羞怯
modification	n.缓和；修改；修饰
modulate	vt.调整，调节(声音)
module	n.模数；模；组件
molecular	a.分子的；克分子的
momentary	a.瞬息间的，片刻的
monarch	n.君主，最高统治者
monk	n.和尚，僧侣，修道士
monopoly	n.垄断，独占，专利
monster	n.怪物；畸形的动植物
monstrous	a.可怕的；极大的
moor	vt.使停泊；使固定
mop	n.墩布，洗碗刷
morality	n.道德，美德，品行
mortgage	n.抵押
Moslem	n.&a.穆斯林(的)
moss	n.苔藓，地衣
motel	n.汽车游客旅馆
motive	a.发动的，运动的
motorway	n.汽车道，快车路
mount	v.装配；固定
mountainous	a.多山的；山一般的
move	n.行动，步骤
multiplication	n.增加；繁殖；乘法
multitude	n.大批，大群；大量
municipal	a.市的，市立的
murmur	n.低沉连续的声音
muscular	a.肌肉发达的，强健的
muse	vi.沉思，默想，冥想
mustard	n.芥子，芥末
mute	n.弱音器；闭止音
mystery	n.神秘小说，侦探小说
napkin	n.餐巾(纸)
narration	n.叙述；故事；叙述法
negative	a.负的，阴性的
negligible	a.微不足道的
negotiate	vi.谈判，交涉，议定
neighbouring	a.邻近的，接壤的
nest	vi.筑巢
net	vt.用网捕；用网覆盖
network	n.网络；广播网
neutron	n.中子
nice	a.细微的，微妙的
nickel	n.镍；镍币
nickname	n.绰号，浑号
nightmare	n.恶梦；经常的恐惧
nominate	vt.提名，推荐；任命
norm	n.标准，规范；平均数
normalization	n.正常化，标准化
northward(s)	ad.向北方
nose	n.突出部分(如船头等)
notable	n.值得注意的；著名的
noted	a.著名的，知名的
notify	vt.通知，告知；报告
notion	n.概念，意念；看法
notorious	a.臭名昭著的
notwithstanding	prep.尽管，虽然
nought	n.无，零
nourish	vt.提供养分，养育
nourishment	n.食物；营养(情况)
novel	a.新的，异常的
novelty	n.新颖；新奇的事物
nucleus	n.原子核；细胞核
number	vt.共计，达…之数
numerical	a.数字的，数值的
nun	n.修女，尼姑
nursery	n.苗圃，养鱼池
nut	n.螺帽，螺母
oar	n.桨；划手
oath	n.誓言，誓约，宣誓
obedience	n.服从，顺从；管辖
obedient	n.服从的，顺从的
objective	n.宾格
obligation	n.义务，职责，责任
oblige	vt.使感激；施恩惠于
obscure	a.阴暗的；蒙昧的
observation	n.意见，短评，按语
observe	vi.说，评述，评论
obstinate	a.固执的；顽强的
occurrence	n.事故
offence	n.犯罪，犯规；冒犯
offensive	a.冒犯的；进攻的
offer	vt.呈现出
offset	n.分支，抵销
offspring	n.儿女，子孙，后代
ohm	n.欧姆
olive	n.橄榄，橄榄树
onward(s)	a.向前(的)，在前面
opaque	a.不透明的；不传导的
operation	n.运算
opium	n.鸦片；麻醉剂
optical	a.光的；光学的
optimism	n.乐观，乐观主义
optimum	n.最适条件，最适度
option	n.选择，取舍
orchard	n.果园
orchestra	n.管弦乐队的全部乐器
ordinarily	ad.通常，大概
orient	n.东方；亚洲，远东
orientation	n.向东；定位；方向
originate	vi.发源
ornament	n.装饰物
ornamental	a.装饰的
otherwise	ad.另外；在其他方面
ought	v.aux
outbreak	n.(战争、愤怒等)爆发
outcome	n.后果，成果
outermost	a.最外面的，最远的
outlaw	n.逃犯，歹徒
outlet	n.发泄(感情等)的方法
outline	vt.概述，概括
outside	prep.在…外，向…外
oval	a.卵形的
over	prep.在(做)…时
overall	a.综合的
overestimate	vt.过高估计
overflow	vt.从…中溢出
overhang	vt.悬于…之上vi.悬垂
overhear	vt.偶然听到；偷听
overlap	vt.与…交搭
overload	vt.使超载
overlook	vt.眺望；看漏；宽容
overseas	ad.在海外，(向)国外
overtake	vt.突然袭击，压倒
overthrow	vt.推翻
overwhelm	vt.压倒，使不知所措
overwhelming	a.压倒的，势不可挡的
oxide	n.氧化物
oxidize	vt.氧化，使生锈
oyster	n.牡蛎；沉默寡言的人
pace	vi.(马)溜蹄走
pacific	a.性情温和的
pal	n.好朋友；同谋
pamphlet	n.小册子
panel	n.(选定的)专门小组
panic	n.恐慌，惊慌
pant	vi.气喘
panther	n.豹，黑豹；美洲狮
pantry	n.食品柜，餐具室
pants	n.裤子；男用短衬裤
paper	vt.用纸包装(或覆盖)
parachute	n.降落伞；风散种子
parade	vt.夸耀(才能等)
paragraph	n.小新闻，短评
paralyse	vt.使麻痹，使瘫痪
parameter	n.参(变)数；参量
participant	n.参加者
participate	vi.参与
particular	a.苛求的；特称的
partition	n.分开，分割；融墙
passport	n.达到目的的手段
pasture	n.牧场；牲畜饲养
patent	a.专利的
pathetic	a.哀婉动人的；可怜的
patriot	n.爱国者，爱国主义者
patriotic	a.爱国的
patrol	n.巡逻
patron	n.庇护人；赞助人
pattern	vt.仿制，仿造，模仿
peacock	n.孔雀
peak	n.(物体的)尖端
peck	vt.&vi.啄，啄起
peculiarity	n.特性，独特性；怪癖
pedal	n.踏脚，踏板，脚蹬
pedestrian	n.行人，步行者
pedlar	n.(挨户兜售的)小贩
peel	n.果皮，蔬菜皮
peer	vi.凝视；隐约出现
penalty	n.处罚，刑罚；罚款
penetration	n.穿入；渗透，侵入
pendulum	n.(钟等的)摆
perception	n.感觉；概念；理解力
perch	n.(禽鸟的)栖木
perfect	vt.使熟练，使改善
perfection	n.尽善尽美；无比精确
peril	n.危机；危险的事物
perimeter	n.周(边)，周长
periodic	n.周期的；一定时期的
periodical	n.期刊，杂志
peripheral	a.周界的；末梢的
perish	vi.死亡，夭折；枯萎
perpendicular	a.垂直的
perpetual	a.永久的；四季开花的
perplex	vt.迷惑，困惑，难住
persecute	vt.迫害，残害
persevere	vi.坚持，不屈不挠
persist	vi.持续，存留
persistence	n.坚持；持续，存留
personality	n.人格，个性；人物
personnel	n.人事部门
persuasion	n.劝说，说服；主张
pertinent	a.恰当的；有关的
pest	n.害虫；害人虫
petition	n.请愿
petty	a.细小的；器量小的
photoelectric	a.光电的
photography	n.摄影术
physically	ad.物质上；体格上
pickle	n.腌制食品，泡菜
pier	n.(桥)墩；码头
pierce	vt.穿透，戳穿，洞察
pilgrim	n.香客，朝圣者
pineapple	n.凤梨，波萝
pious	a.虔诚的；虔奉宗教的
pipe	n.管乐器
pirate	n.海盗；每盗船
piston	n.活塞
pitch	n.人造树脂
plague	n.瘟疫，鼠疫；天灾
plain	a.坦白的；普通的
plastic	a.塑料的；塑性的
plateau	n.高原；平稳时期
platform	n.政纲，党纲，宣言
plea	n.请愿，请求，恳求
plead	vt.为…辩护
pledge	n.誓言
pluck	vt.鼓起(勇气)，振作
plump	vt.丰满的；鼓起的
plunder	v.&n.掠夺，劫掠
pneumatic	a.空气的；气动的
poke	vt.戳，刺；伸(头等)
polar	a.南(北)极的；极性的
polarity	n.极性；(思想等)归向
politics	n.政纲，政见，策略
poll	n.投票
polymer	n.聚合物，多聚物
ponder	vt.考虑
pop	vi.(意外地)出现
pope	n.(罗马天主教的)教皇
popularity	n.通俗性；普及，流行
porcelain	n.瓷
pore	n.毛孔，气孔，细孔
portable	a.可移动的
pose	vt.(使)摆好姿势
